Date,Price,Open,High,Low,Vol.,Change %
1/3/2017,"25,055","25,480","25,480","25,055",1.23M,-1.83%
1/4/2017,"25,225","25,055","25,267","25,055",2.49M,0.68%
1/5/2017,"25,097","25,182","25,225","25,055",1.50M,-0.51%
1/6/2017,"25,140","25,055","25,140","24,970",1.85M,0.17%
1/9/2017,"25,182","25,097","25,182","24,928",2.62M,0.17%
1/10/2017,"25,055","25,140","25,140","25,013",1.89M,-0.50%
1/11/2017,"25,097","25,013","25,097","24,928",2.54M,0.17%
1/12/2017,"24,970","25,055","25,097","24,928",2.13M,-0.51%
1/13/2017,"25,055","24,970","25,055","24,843",2.28M,0.34%
1/16/2017,"25,140","25,013","25,140","24,928",3.14M,0.34%
1/17/2017,"24,970","25,097","25,140","24,970",2.66M,-0.68%
1/18/2017,"25,013","24,928","25,055","24,928",2.78M,0.17%
1/19/2017,"24,673","24,970","25,055","24,630",3.22M,-1.36%
1/20/2017,"24,715","24,673","24,843","24,588",2.30M,0.17%
1/23/2017,"24,545","24,715","24,800","24,545",2.56M,-0.69%
1/24/2017,"24,588","24,545","24,715","24,460",2.83M,0.18%
1/25/2017,"25,734","24,630","25,734","24,630",3.85M,4.66%
2/2/2017,"25,862","25,777","25,862","25,650",3.21M,0.50%
2/3/2017,"25,862","25,819","25,862","25,607",2.79M,0.00%
2/6/2017,"25,437","25,819","25,819","25,437",2.64M,-1.64%
2/7/2017,"25,267","25,352","25,395","25,140",2.89M,-0.67%
2/8/2017,"25,097","25,267","25,480","25,097",2.97M,-0.67%
2/9/2017,"24,970","25,097","25,352","24,970",3.95M,-0.51%
2/10/2017,"24,970","25,055","25,310","24,970",3.78M,0.00%
2/13/2017,"25,140","25,013","25,267","25,013",2.96M,0.68%
2/14/2017,"25,140","25,140","25,310","25,140",3.04M,0.00%
2/15/2017,"25,267","25,140","25,480","25,140",3.31M,0.51%
2/16/2017,"25,607","25,395","25,734","25,310",3.52M,1.35%
2/17/2017,"25,819","25,607","26,074","25,607",3.26M,0.83%
2/20/2017,"26,796","25,904","26,966","25,904",2.42M,3.78%
2/21/2017,"28,028","26,966","28,452","26,796",2.06M,4.60%
2/22/2017,"28,113","28,070","28,877","28,028",2.04M,0.30%
2/23/2017,"27,985","28,070","28,282","27,560",3.62M,-0.46%
2/24/2017,"27,730","27,985","27,985","27,391",2.91M,-0.91%
2/27/2017,"28,240","27,645","28,410","27,645",2.45M,1.84%
2/28/2017,"28,452","28,240","29,514","28,240",3.55M,0.75%
3/1/2017,"29,217","28,452","29,217","28,452",2.87M,2.69%
3/2/2017,"29,217","29,217","29,514","29,174",3.06M,0.00%
3/3/2017,"29,259","29,217","29,302","28,792",2.71M,0.14%
3/6/2017,"29,259","29,217","29,302","29,004",2.19M,0.00%
3/7/2017,"29,132","29,217","29,726","29,004",2.14M,-0.43%
3/8/2017,"28,877","29,132","29,132","28,240",2.47M,-0.88%
3/9/2017,"28,877","28,877","28,919","28,665",2.38M,0.00%
3/10/2017,"28,877","28,877","29,174","28,834",2.52M,0.00%
3/13/2017,"30,873","30,873","30,873","29,726",7.90M,6.91%
3/14/2017,"32,062","30,873","32,062","30,830",1.99M,3.85%
3/15/2017,"31,128","32,189","32,699","31,043",2.21M,-2.91%
3/16/2017,"30,830","31,000","31,128","30,830",2.36M,-0.96%
3/17/2017,"28,707","30,448","30,576","28,707",5.59M,-6.89%
3/20/2017,"29,217","28,792","29,726","28,792",2.72M,1.78%
3/21/2017,"29,174","29,217","29,344","29,089",1.63M,-0.15%
3/22/2017,"28,707","29,132","29,132","28,707",1.50M,-1.60%
3/23/2017,"28,367","28,707","28,792","28,197",1.33M,-1.18%
3/24/2017,"29,302","28,367","29,429","28,367",3.41M,3.30%
3/27/2017,"29,344","29,302","29,429","29,174",1.25M,0.14%
3/28/2017,"29,089","29,344","29,429","29,004",958.06K,-0.87%
3/29/2017,"29,089","29,089","29,302","28,962",1.22M,0.00%
3/30/2017,"29,174","29,089","29,259","29,047",1.32M,0.29%
3/31/2017,"29,387","29,217","29,514","29,174",1.87M,0.73%
4/3/2017,"29,514","29,387","29,726","29,259",1.78M,0.43%
4/4/2017,"29,896","29,514","30,024","29,514",1.01M,1.29%
4/5/2017,"29,896","30,024","30,151","29,726",713.84K,0.00%
4/7/2017,"29,896","29,896","29,939","29,641",405.03K,0.00%
4/10/2017,"29,939","29,939","30,108","29,854",1.18M,0.14%
4/11/2017,"30,024","29,939","30,108","29,939",1.16M,0.28%
4/12/2017,"30,024","30,066","30,108","29,854",1.14M,0.00%
4/13/2017,"29,939","30,024","30,066","29,896",712.52K,-0.28%
4/14/2017,"29,726","29,981","29,981","29,599",958.98K,-0.71%
4/17/2017,"29,599","29,726","29,769","29,599",500.23K,-0.43%
4/18/2017,"29,556","29,641","29,641","29,259",885.51K,-0.15%
4/19/2017,"29,811","29,599","29,939","29,514",746.17K,0.86%
4/20/2017,"30,066","29,811","30,151","29,769",1.25M,0.86%
4/21/2017,"30,788","30,108","31,000","30,066",693.40K,2.40%
4/24/2017,"31,043","30,915","31,637","30,830",692.29K,0.83%
4/25/2017,"31,000","31,000","31,128","30,873",625.89K,-0.14%
4/26/2017,"30,915","31,000","31,213","30,915",1.08M,-0.27%
4/27/2017,"30,788","30,958","31,128","30,321",1.41M,-0.41%
4/28/2017,"30,024","30,788","30,788","29,811",1.36M,-2.48%
5/3/2017,"29,769","30,024","30,151","29,769",1.49M,-0.85%
5/4/2017,"29,514","29,769","29,769","29,429",1.05M,-0.86%
5/5/2017,"29,514","29,556","29,684","29,471",843.17K,0.00%
5/8/2017,"28,919","29,514","29,556","28,919",797.77K,-2.02%
5/9/2017,"29,132","28,919","29,302","28,750",986.27K,0.74%
5/10/2017,"29,302","29,132","29,387","28,962",1.19M,0.58%
5/11/2017,"29,344","29,302","29,344","29,174",1.26M,0.14%
5/12/2017,"29,302","29,302","29,344","29,089",2.87M,-0.14%
5/15/2017,"28,792","29,047","29,089","28,665",2.19M,-1.74%
5/16/2017,"28,707","28,750","28,834","28,537",1.26M,-0.30%
5/17/2017,"28,792","28,707","28,962","28,622",1.93M,0.30%
5/18/2017,"28,665","28,792","28,834","28,580",1.43M,-0.44%
5/19/2017,"28,919","28,665","28,919","28,622",627.63K,0.89%
5/22/2017,"29,217","28,877","29,217","28,877",646.66K,1.03%
5/23/2017,"29,132","29,174","29,174","29,047",304.38K,-0.29%
5/24/2017,"28,792","29,132","29,132","28,792",962.01K,-1.17%
5/25/2017,"28,537","28,792","28,792","28,452",1.05M,-0.89%
5/26/2017,"28,495","28,580","28,665","28,452",1.62M,-0.15%
5/29/2017,"28,452","28,495","28,665","28,452",349.24K,-0.15%
5/30/2017,"27,985","28,452","28,452","27,900",1.31M,-1.64%
5/31/2017,"28,452","27,985","28,452","27,900",1.95M,1.67%
6/1/2017,"28,622","28,452","28,962","28,410",809.80K,0.60%
6/2/2017,"28,877","28,622","28,877","28,452",906.89K,0.89%
6/5/2017,"29,302","28,962","29,302","28,962",2.35M,1.47%
6/6/2017,"29,471","29,302","29,471","29,259",1.49M,0.58%
6/7/2017,"29,599","29,471","29,599","29,387",1.20M,0.43%
6/8/2017,"29,344","29,514","29,514","29,174",2.27M,-0.86%
6/9/2017,"28,665","29,344","29,344","28,665",1.40M,-2.31%
6/12/2017,"28,707","28,665","28,750","28,580",2.54M,0.15%
6/13/2017,"28,707","28,707","28,707","28,580",2.04M,0.00%
6/14/2017,"28,580","28,707","28,707","28,452",1.09M,-0.44%
6/15/2017,"28,452","28,580","28,580","28,282",942.63K,-0.45%
6/16/2017,"28,877","28,452","28,877","28,325",11.78M,1.49%
6/19/2017,"29,047","28,877","29,302","28,665",2.26M,0.59%
6/20/2017,"28,877","29,047","29,047","28,665",2.57M,-0.59%
6/21/2017,"28,622","28,834","28,877","28,580",2.57M,-0.88%
6/22/2017,"28,707","28,622","28,834","28,622",3.42M,0.30%
6/23/2017,"29,089","28,707","29,089","28,622",3.87M,1.33%
6/26/2017,"29,089","29,089","29,174","28,962",1.81M,0.00%
6/27/2017,"29,089","29,089","29,089","28,919",1.59M,0.00%
6/28/2017,"29,132","29,089","29,132","28,834",1.38M,0.15%
6/29/2017,"28,877","29,132","29,132","28,622",2.19M,-0.88%
6/30/2017,"28,877","28,877","28,877","28,707",2.30M,0.00%
7/3/2017,"28,877","28,877","29,047","28,834",2.33M,0.00%
7/4/2017,"28,877","28,877","28,877","28,707",2.67M,0.00%
7/5/2017,"28,919","28,877","28,919","28,750",2.59M,0.15%
7/6/2017,"28,707","28,919","28,919","28,665",2.65M,-0.73%
7/7/2017,"28,622","28,707","28,707","28,410",2.66M,-0.30%
7/10/2017,"28,537","28,622","28,622","28,282",1.01M,-0.30%
7/11/2017,"28,622","28,537","28,622","28,367",1.71M,0.30%
7/12/2017,"28,622","28,622","28,665","28,367",5.26M,0.00%
7/13/2017,"28,665","28,622","28,665","28,452",5.27M,0.15%
7/14/2017,"28,962","28,665","28,962","28,580",1.85M,1.04%
7/17/2017,"28,877","28,962","29,259","28,537",2.66M,-0.29%
7/18/2017,"28,792","28,877","28,877","28,495",3.58M,-0.29%
7/19/2017,"28,622","28,750","28,834","28,622",2.71M,-0.59%
7/20/2017,"28,580","28,622","28,622","28,367",1.78M,-0.15%
7/21/2017,"28,877","28,580","28,877","28,495",3.29M,1.04%
7/24/2017,"28,877","28,877","28,877","28,665",3.04M,0.00%
7/25/2017,"28,877","28,877","28,919","28,665",3.58M,0.00%
7/26/2017,"28,834","28,877","28,877","28,750",2.74M,-0.15%
7/27/2017,"28,665","28,834","28,834","28,622",3.83M,-0.59%
7/28/2017,"28,282","28,665","28,665","28,240",3.82M,-1.34%
7/31/2017,"28,665","28,282","28,665","27,985",4.36M,1.35%
8/1/2017,"28,665","28,622","28,665","28,452",3.84M,0.00%
8/2/2017,"28,537","28,622","28,622","28,410",4.06M,-0.45%
8/3/2017,"28,537","28,537","28,537","28,410",3.65M,0.00%
8/4/2017,"28,580","28,452","28,580","28,367",4.52M,0.15%
8/7/2017,"28,325","28,580","28,580","28,113",4.34M,-0.89%
8/8/2017,"27,943","28,282","28,282","27,858",3.05M,-1.35%
8/9/2017,"27,815","27,943","27,943","27,773",4.34M,-0.46%
8/10/2017,"27,306","27,730","27,730","27,178",3.84M,-1.83%
8/11/2017,"26,754","27,306","27,306","26,541",3.86M,-2.02%
8/14/2017,"26,117","26,541","26,541","25,819",3.01M,-2.38%
8/15/2017,"26,329","26,117","26,456","25,904",4.55M,0.81%
8/16/2017,"26,371","26,329","26,371","25,904",4.27M,0.16%
