Date,Price,Open,High,Low,Vol.,Change %
1/3/2017,"6,066.50","6,191.40","6,191.40","6,041.60",494.17K,-2.80%
1/4/2017,"6,166.40","6,066.50","6,191.40","6,041.60",2.04M,1.65%
1/5/2017,"6,091.50","6,191.40","6,191.40","6,091.50",2.31M,-1.21%
1/6/2017,"6,141.40","6,141.40","6,291.20","6,141.40",4.07M,0.82%
1/9/2017,"6,141.40","6,141.40","6,266.30","6,141.40",2.86M,0.00%
1/10/2017,"6,191.40","6,191.40","6,216.30","6,166.40",2.01M,0.81%
1/11/2017,"6,091.50","6,216.30","6,241.30","6,091.50",1.67M,-1.61%
1/12/2017,"6,141.40","6,141.40","6,166.40","6,066.50",2.76M,0.82%
1/13/2017,"6,091.50","6,091.50","6,191.40","6,066.50",3.21M,-0.81%
1/16/2017,"6,166.40","6,116.50","6,191.40","6,066.50",3.35M,1.23%
1/17/2017,"6,441.00","6,166.40","6,515.90","6,166.40",4.85M,4.45%
1/18/2017,"6,316.20","6,441.00","6,441.00","6,316.20",1.28M,-1.94%
1/19/2017,"6,216.30","6,316.20","6,341.20","6,216.30",1.83M,-1.58%
1/20/2017,"6,391.10","6,241.30","6,391.10","6,241.30",2.06M,2.81%
1/23/2017,"6,515.90","6,540.90","6,665.70","6,490.90",5.59M,1.95%
1/24/2017,"6,515.90","6,490.90","6,565.80","6,490.90",1.82M,0.00%
1/25/2017,"6,715.60","6,540.90","6,715.60","6,540.90",3.11M,3.06%
2/2/2017,"6,865.40","6,740.60","6,915.40","6,715.60",4.34M,2.23%
2/3/2017,"6,690.70","6,890.40","6,890.40","6,690.70",2.79M,-2.54%
2/6/2017,"6,915.40","6,690.70","6,915.40","6,640.70",5.23M,3.36%
2/7/2017,"6,865.40","6,940.30","7,040.20","6,840.50",4.56M,-0.72%
2/8/2017,"6,840.50","6,840.50","6,915.40","6,815.50",2.82M,-0.36%
2/9/2017,"6,915.40","6,840.50","6,965.30","6,840.50",3.37M,1.09%
2/10/2017,"7,239.90","6,940.30","7,264.90","6,940.30",7.62M,4.69%
2/13/2017,"7,464.60","7,339.80","7,514.50","7,289.80",5.01M,3.10%
2/14/2017,"7,364.70","7,489.50","7,489.50","7,264.90",4.12M,-1.34%
2/15/2017,"7,464.60","7,364.70","7,539.50","7,339.80",5.70M,1.36%
2/16/2017,"7,489.50","7,489.50","7,714.20","7,439.60",5.40M,0.33%
2/17/2017,"7,739.20","7,464.60","7,739.20","7,464.60",6.65M,3.33%
2/20/2017,"8,263.50","7,914.00","8,263.50","7,814.10",7.16M,6.77%
2/21/2017,"8,388.30","8,288.40","8,463.20","8,088.70",6.00M,1.51%
2/22/2017,"8,388.30","8,388.30","8,588.00","8,338.40",6.40M,0.00%
2/23/2017,"8,488.20","8,388.30","8,488.20","8,213.50",5.43M,1.19%
2/24/2017,"8,513.10","8,488.20","8,837.70","8,438.20",9.24M,0.29%
2/27/2017,"8,588.00","8,488.20","8,687.90","8,288.40",6.17M,0.88%
2/28/2017,"8,238.50","8,662.90","8,712.80","8,213.50",5.56M,-4.07%
3/1/2017,"8,238.50","8,088.70","8,263.50","7,839.10",7.84M,0.00%
