Date,Price,Open,High,Low,Vol.,Change %
1/3/2017,"9,198.40","9,129.30","9,221.50","9,129.30",226.39K,-0.25%
1/4/2017,"9,198.40","9,198.40","9,221.50","9,198.40",172.08K,0.00%
1/5/2017,"8,944.80","9,198.40","9,198.40","8,898.70",500.75K,-2.76%
1/6/2017,"9,083.20","8,990.90","9,129.30","8,898.70",203.25K,1.55%
1/9/2017,"9,083.20","9,037.00","9,175.40","9,014.00",278.61K,0.00%
1/10/2017,"9,083.20","9,083.20","9,129.30","9,083.20",105.36K,0.00%
1/11/2017,"9,129.30","9,083.20","9,129.30","9,037.00",108.09K,0.51%
1/12/2017,"9,129.30","9,129.30","9,129.30","9,060.10",180.98K,0.00%
1/13/2017,"9,129.30","9,129.30","9,221.50","9,083.20",181.88K,0.00%
1/16/2017,"9,129.30","9,129.30","9,175.40","9,083.20",202.63K,0.00%
1/17/2017,"9,129.30","9,152.30","9,152.30","9,083.20",264.43K,0.00%
1/18/2017,"9,083.20","9,129.30","9,129.30","9,083.20",106.50K,-0.50%
1/19/2017,"9,083.20","9,106.20","9,106.20","9,083.20",69.27K,0.00%
1/20/2017,"9,129.30","9,083.20","9,129.30","9,083.20",106.38K,0.51%
1/23/2017,"9,083.20","9,129.30","9,129.30","9,060.10",66.62K,-0.50%
1/24/2017,"8,990.90","9,083.20","9,083.20","8,990.90",315.89K,-1.02%
1/25/2017,"9,083.20","9,037.00","9,083.20","8,898.70",244.42K,1.03%
2/2/2017,"9,129.30","9,083.20","9,129.30","9,083.20",70.65K,0.51%
2/3/2017,"9,083.20","9,083.20","9,106.20","9,060.10",43.63K,-0.50%
2/6/2017,"9,037.00","9,083.20","9,083.20","9,014.00",106.10K,-0.51%
2/7/2017,"8,990.90","9,037.00","9,083.20","8,944.80",243.83K,-0.51%
2/8/2017,"8,944.80","8,990.90","8,990.90","8,898.70",278.07K,-0.51%
2/9/2017,"9,037.00","8,990.90","9,129.30","8,944.80",306.07K,1.03%
2/10/2017,"9,083.20","9,037.00","9,129.30","9,037.00",271.58K,0.51%
2/13/2017,"9,267.60","9,083.20","9,267.60","9,060.10",347.31K,2.03%
2/14/2017,"9,313.70","9,313.70","9,359.80","9,221.50",301.44K,0.50%
2/15/2017,"9,359.80","9,313.70","9,636.40","9,267.60",618.87K,0.49%
2/16/2017,"9,913.10","9,452.00","10,005.30","9,405.90",310.38K,5.91%
2/17/2017,"9,913.10","9,774.80","9,913.10","9,774.80",122.01K,0.00%
2/20/2017,"9,913.10","9,913.10","9,959.20","9,590.30",579.33K,0.00%
2/21/2017,"10,281.90","9,820.90","10,558.60","9,820.90",643.69K,3.72%
2/22/2017,"10,143.60","10,420.30","10,420.30","10,051.40",156.20K,-1.35%
2/23/2017,"10,143.60","10,097.50","10,235.80","9,959.20",169.62K,0.00%
2/24/2017,"10,097.50","10,143.60","10,143.60","9,959.20",169.48K,-0.45%
2/27/2017,"10,097.50","10,097.50","10,143.60","10,051.40",82.27K,0.00%
2/28/2017,"10,097.50","10,051.40","10,097.50","10,051.40",147.49K,0.00%
3/1/2017,"10,328.00","10,097.50","10,328.00","10,097.50",332.61K,2.28%
3/2/2017,"10,696.90","10,743.00","10,743.00","10,374.20",649.90K,3.57%
3/3/2017,"10,743.00","10,696.90","10,789.10","10,512.50",287.54K,0.43%
3/6/2017,"10,789.10","10,558.60","10,835.20","10,558.60",324.38K,0.43%
3/7/2017,"10,812.20","10,650.80","10,835.20","10,650.80",154.16K,0.21%
3/8/2017,"10,835.20","10,812.20","10,858.30","10,696.90",199.31K,0.21%
3/9/2017,"10,720.00","10,835.20","10,835.20","10,696.90",247.32K,-1.06%
3/10/2017,"10,743.00","10,604.70","10,789.10","10,604.70",72.51K,0.21%
